Province,City,Price,Square Feet,Baths,Bedrooms,Property Type,Year Built
BC,Vancouver,1750000.0,2374.0,3.0,6.0,SINGLE_FAMILY_HOUSE,1976.0
BC,Vancouver,1092000.0,1074.0,3.0,2.0,SINGLE_FAMILY_HOUSE,1983.0
BC,Vancouver,699900.0,692.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2012.0
BC,Vancouver,599900.0,839.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1976.0
BC,Vancouver,1548000.0,1385.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1989.0
BC,Vancouver,2760000.0,1545.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2020.0
BC,Vancouver,1624000.0,2444.0,3.0,4.0,SINGLE_FAMILY_HOUSE,1912.0
BC,Vancouver,499000.0,835.0,1.0,2.0,CONDO,1996.0
BC,Vancouver,699900.0,810.0,2.0,2.0,CONDO,1995.0
BC,Vancouver,999000.0,972.0,2.0,2.0,CONDO,2019.0
BC,Vancouver,2299000.0,2342.0,5.0,5.0,SINGLE_FAMILY_HOUSE,2012.0
BC,Vancouver,1750000.0,1555.0,3.0,2.0,TOWNHOUSE,1993.0
BC,Vancouver,1099000.0,882.0,2.0,2.0,CONDO,2019.0
BC,Vancouver,1898000.0,1758.0,5.0,5.0,MULTI_FAMILY,2023.0
BC,Vancouver,3098000.0,3260.0,3.0,3.0,SINGLE_FAMILY_HOUSE,1928.0
BC,Vancouver,2399000.0,2571.0,3.0,4.0,SINGLE_FAMILY_HOUSE,1972.0
BC,Vancouver,898000.0,830.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2013.0
BC,Vancouver,978000.0,875.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2011.0
BC,Vancouver,2698000.0,6605.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1926.0
BC,Vancouver,2698000.0,6605.0,1.0,3.0,SINGLE_FAMILY_HOUSE,1926.0
BC,Vancouver,478800.0,470.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2017.0
BC,Vancouver,828800.0,615.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2024.0
BC,Vancouver,815000.0,866.0,2.0,2.0,SINGLE_FAMILY_HOUSE,2017.0
BC,Vancouver,849000.0,750.0,2.0,2.0,CONDO,2003.0
BC,Vancouver,579000.0,631.0,1.0,1.0,CONDO,1976.0
BC,Vancouver,1438000.0,955.0,2.0,2.0,CONDO,2021.0
BC,Vancouver,2760000.0,1545.0,3.0,3.0,CONDO,2020.0
BC,Vancouver,1092000.0,1074.0,3.0,2.0,CONDO,1983.0
BC,Vancouver,1548000.0,1385.0,2.0,2.0,TOWNHOUSE,1989.0
BC,Vancouver,779000.0,783.0,2.0,2.0,SINGLE_FAMILY_HOUSE,1990.0
BC,Vancouver,630000.0,990.0,2.0,2.0,CONDO,1984.0
BC,Vancouver,2698000.0,6605.0,1.0,2.0,SINGLE_FAMILY_HOUSE,1926.0
BC,Vancouver,5380000.0,3638.0,5.0,5.0,SINGLE_FAMILY_HOUSE,2021.0
BC,Vancouver,898000.0,830.0,2.0,2.0,CONDO,2013.0
BC,Vancouver,828800.0,615.0,1.0,1.0,CONDO,2024.0
BC,Vancouver,684000.0,696.0,1.0,1.0,CONDO,1997.0
BC,Vancouver,2099900.0,1618.0,4.0,4.0,SINGLE_FAMILY_HOUSE,2025.0
BC,Vancouver,779000.0,783.0,2.0,2.0,CONDO,1990.0
BC,Vancouver,549000.0,561.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2020.0
BC,Vancouver,650000.0,739.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1995.0
BC,Vancouver,1729000.0,2120.0,2.0,5.0,SINGLE_FAMILY_HOUSE,1961.0
BC,Vancouver,1788000.0,1794.0,2.0,4.0,SINGLE_FAMILY_HOUSE,1948.0
BC,Vancouver,4850000.0,3319.0,5.0,5.0,SINGLE_FAMILY_HOUSE,2007.0
BC,Vancouver,1580000.0,2352.0,3.0,5.0,SINGLE_FAMILY_HOUSE,1957.0
BC,Vancouver,599900.0,696.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1957.0
BC,Vancouver,1539900.0,1317.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2024.0
BC,Vancouver,3495000.0,1891.0,3.0,3.0,SINGLE_FAMILY_HOUSE,2014.0
BC,Vancouver,499900.0,538.0,1.0,1.0,SINGLE_FAMILY_HOUSE,1997.0
BC,Vancouver,579000.0,576.0,1.0,1.0,SINGLE_FAMILY_HOUSE,2004.0
